symptoms,disease,symptoms_processed
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"fatigue,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"chills,vomiting,fatigue,weight loss,cough,high fever,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"vomiting,headache,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache alter sensorium
"burning micturition,bladder discomfort,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort continuous feel urine
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch yellowish skin nausea loss appetite abdominal pain yellow eye
I have abdominal pain or discomfort that is worse when I eat or drink. I have a loss of appetite and feel fatigued after going to the bathroom. I feel very tired all the time,Peptic Ulcer Disease,abdominal pain discomfort bad eat drink loss appetite feel fatigue go bathroom feel tired time
"I have a burning feeling in my stomach. It's worse when I eat or drink. I also get heartburn, indigestion, and nausea.",Peptic Ulcer Disease,burn feel stomach bad eat drink also get heartburn indigestion nausea
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"joint pain,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"pus filled pimples,blackheads,scurring",Acne,pu fill pimple blackhead scurring
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"vomiting,headache,weakness of one body side",Paralysis (Brain Hemorrhage),vomit headache weakness one body side
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"My skin has been acting up recently, it's been itchy and I've been getting rashes. There are also some spots that are a different color than the rest of my skin, and I have these lumps or bumps that weren't there before.",Fungal Infection,skin act recently itchy get rash also spot different color rest skin lump bump
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"itching,skin rash,dischromic  patches",Fungal Infection,itch skin rash dischromic patch
"fatigue,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"stomach pain,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain ulcer tongue vomit cough chest pain
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"I have heartburn and indigestion. I frequently vomit everything I eat, and I have trouble swallowing food because it gets caught in my throat. My upper abdomen is bothering me.",Gastroesophageal Reflux Disease,heartburn indigestion frequently vomit everything eat trouble swallow food get catch throat upper abdomen bother
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"joint pain,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"I have a constant hunger and appetite. Sometimes my stomach will cramp and spasm. After I eat, I feel bloated and gassy.",Peptic Ulcer Disease,constant hunger appetite sometimes stomach cramp spasm eat feel bloat gassy
